,loadFromY,loadFromY,loadFromY,loadFromY,,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,meanResponseP1Availability,,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,meanResponseP2Availability,,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,meanResponseP3Availability,
,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - SmartLoadShedding,
1550000,643,470,476,472,,2160.744548286604,35552.32978723404,17619.812111801242,7198.4578125,,0.721183800623053,1,0.7391304347826086,0.7375,,NaN,NaN,NaN,0.14285714285714285,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1600000,650,478,472,474,,2158.4807395993835,48182.12552301255,17459.783950617282,7786.07076923077,,0.711864406779661,1,0.7283950617283951,0.7292307692307692,,NaN,NaN,NaN,0.1111111111111111,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1650000,640,480,479,475,,2188.1614420062697,61284.870833333334,17822.485179407176,17394.6640625,,0.7335423197492164,1,0.7472698907956318,0.7421875,,NaN,NaN,NaN,0.23963133640552994,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1700000,616,471,478,473,,2270.2272727272725,74815.15498938429,18248.953074433655,21885.98379254457,,0.7564935064935064,1,0.7734627831715211,0.766612641815235,,NaN,NaN,NaN,0.27638190954773867,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1750000,579,480,474,478,,2390.544827586207,87926.96458333333,19657.868512110726,33926.86402753873,,0.803448275862069,1,0.8200692041522492,0.8227194492254734,,NaN,NaN,NaN,0.4690721649484536,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1800000,530,472,470,471,,2593.5703564727955,99854.38559322034,21215.129943502823,29427.343453510435,,0.874296435272045,1,0.8851224105461394,0.8937381404174574,,NaN,NaN,NaN,0.672514619883041,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1850000,474,473,477,484,,2823.7679324894516,110853.24947145878,23251.1288981289,28417.39549180328,,0.9493670886075949,1,0.9916839916839917,0.9918032786885246,,NaN,NaN,NaN,0.9761904761904762,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1900000,413,473,473,479,,2951.8057553956833,119134.41437632135,22354.879492600423,25874.020876826722,,0.9952038369304557,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
1950000,350,470,473,470,,2960.4435028248586,124322.39787234043,13802.401691331925,16883.40552016985,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2000000,292,471,299,292,,2938.7619047619046,124477.22717622081,3170.3365384615386,3092.039344262295,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
2050000,239,475,239,239,,2965.253112033195,116225.23368421053,2947.7272727272725,2962.6833333333334,,1,1,1,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,,NaN,NaN,NaN,1,
